State,Population at 30 Jun 2021 ('000),Change over previous year ('000),Change over previous year (%)
New South Wales,8189.3,22.2,0.3
Victoria,6649.2,-44.7,-0.7
Queensland,5221.2,45.9,0.9
South Australia,1773.2,3,0.2
Western Australia,2681.6,17.4,0.7
Tasmania,541.5,0.9,0.2
Northern Territory,246.3,0.1,0
Australian Capital Territory,432.3,1.1,0.2
Australia (a),25739.3,46,0.2
,,,
"a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island.",,,
,,,
"Source: Australian Bureau of Statistics, National, state and territory population June 2021",,,
